,word_form,lemma_id,word_root,citation_form,speaker_age,speaker_gender
137,ḳōtrin,315,ḳtr,iḳtar yiḳtur,26,M
138,ʕ,4,ʕly,ʕa/ʕal,26,M
139,baġla,346,bġl,baġla,26,M
140,w,1,w,w,26,M
141,mafčel,1069,fčl,afčel yafčel,26,M
142,ḥetta,32,ḥtt,ḥetta,26,M
143,yṯuḳnun,17,ṯḳn,iṯḳen yiṯḳan,26,M
144,ex,74,Ɂx,ex/ux,26,M
145,əḥmīra,673,ḥmr,ḥmīra,26,M
146,bōṯar,55,bṯr,bōṯar,26,M
147,ma,293,mɁ,ma,26,M
148,ṯōḳnin,17,ṯḳn,iṯḳen yiṯḳan,26,M
149,ex,74,Ɂx,ex/ux,26,M
150,əḥmīra,673,ḥmr,ḥmīra,26,M
151,mžammʕillun,484,žmʕ,žammeʕ/žammaʕ yžammeʕ/yžammaʕ,26,M
152,w,1,w,w,26,M
153,aspillun,155,Ɂsb/Ɂsp,asab yīsub,26,M
154,ʕa,4,ʕly,ʕa/ʕal,26,M
155,wḓōyṯa,381,wḓy,wḓōyṯa,26,M
156,ẓʕōr,170,zʕr,iẓʕur,26,M
157,wḓōyṯa,381,wḓy,wḓōyṯa,26,M
158,ḥrīṯa,85,ḥr,ḥrēna,26,M
159,w,1,w,w,26,M
160,mžammʕillun,484,žmʕ,žammeʕ/žammaʕ yžammeʕ/yžammaʕ,26,M
161,xašīṯa,864,xšy,xašīṯa,26,M
163,ḥaṣṣil,115,ḥṣṣ,ḥaṣṣa,26,M
164,baʕḓinn,98,bʕḓ,baʕḓ-,26,M
165,uxxl,102,xll,uxxul/uxxil,26,M
166,aḥḥaḏ,34,Ɂḥḏ,aḥḥaḏ,26,M
167,mḳayyeḏlə,2952,ḳyḏ,ḳayyeḏ yḳayyeḏ,26,M
168,ešme,93,Ɂšm/šmy,ešma/ušma,26,M
169,ʕlayy,4,ʕly,ʕa/ʕal,26,M
170,bōṯar,55,bṯr,bōṯar,26,M
171,ḥamša,123,ḥmš,ḥammeš,26,M
172,šečča,342,ščč/šṯṯ,šeṯṯ,26,M
173,yūm,26,ywm,yōma,26,M
174,mayṯyin,19,Ɂṯy,ayṯ(i) yayṯ(i),26,M
175,ḳattūma,1422,ḳtm,ḳattūma,26,M
176,w,1,w,w,26,M
177,nōḥčin,46,nḥč,inḥeč/iḥḥeč yinḥuč/yiḥḥuč,26,M
178,fčōča,2639,fčč,fčōča,26,M
179,bōn,2,b,b-,26,M
180,mnažžrillun,916,nžr,nažžar ynažžar,26,M
181,šaḳfōṯa,287,šḳf,šaḳəfṯa,26,M
182,ẓʕōran,170,zʕr,iẓʕur,26,M
183,ẓʕōran,170,zʕr,iẓʕur,26,M
184,baʕdēn,62,bʕd,baʕdēn,26,M
185,ṭaʕnillun,52,ṭʕn,iṭʕan yiṭʕun,26,M
187,ḳuffō,2071,ḳff,ḳoffṯa,26,M
188,w,1,w,w,26,M
189,mišwillun,10,šwy,išw/išwi yišw/yišwi,26,M
191,tuġarō,1505,tġr,tuġōra,26,M
192,w,1,w,w,26,M
193,mayṯyin,19,Ɂṯy,ayṯ(i) yayṯ(i),26,M
194,mōya,99,mw,mōya,26,M
195,mʕappyillun,221,ʕby,ʕapp yʕapp,26,M
197,ḥaṣṣayy,115,ḥṣṣ,ḥaṣṣa,26,M
198,hanna,7,hnn,hanna,26,M
199,tuġōra,1505,tġr,tuġōra,26,M
200,mišwin,10,šwy,išw/išwi yišw/yišwi,26,M
202,yarke,866,yrk,yarka,26,M
203,sīḥa,928,syḥ,sīḥa,26,M
204,w,1,w,w,26,M
205,yarke,866,yrk,yarka,26,M
206,ipxeš,2578,bxš,ipxeš,26,M
207,mṣaffyin,739,ṣfy,ṣaff yṣaff,26,M
208,hann,33,hnn,hann(un),26,M
209,mōya,99,mw,mōya,26,M
210,ʕa,4,ʕly,ʕa/ʕal,26,M
211,wʕō,243,wʕy,wʕō,26,M
212,ḥrēna,85,ḥr,ḥrēna,26,M
213,noḳəṯṯa,2176,nḳṭ,noḳəṭṯa/noḳəṯṯa,26,M
214,noḳəṯṯa,2176,nḳṭ,noḳəṭṯa/noḳəṯṯa,26,M
215,xann,25,xnn,xann/xanni,26,M
216,ḥetta,32,ḥtt,ḥetta,26,M
217,la,124,l,la,26,M
218,yičbaḳḳ,283,bḳy,čbaḳḳ yičbaḳḳ,26,M
219,mett,20,mtt,mett,26,M
220,ṯēn,125,ṯny,ṯēn/ṯēni,26,M
221,yōma,26,ywm,yōma,26,M
222,mžammʕill,484,žmʕ,žammeʕ/žammaʕ yžammeʕ/yžammaʕ,26,M
223,lann,147,hnn,lann,26,M
224,mōya,99,mw,mōya,26,M
225,w,1,w,w,26,M
226,ḳalbillun,474,ḳlb,iḳlab yiḳlub,26,M
227,ʕa,4,ʕly,ʕa/ʕal,26,M
228,ṯēn,125,ṯny,ṯēn/ṯēni,26,M
229,tuġōra,1505,tġr,tuġōra,26,M
230,w,1,w,w,26,M
231,ṯēleṯ,415,ṯlṯ,ṯēleṯ,26,M
232,yōma,26,ywm,yōma,26,M
