,word_form,lemma_id,word_root,citation_form
158,ḥrīṯa,85,ḥr,ḥrēna
159,w,1,w,w
160,mžammʕillun,484,žmʕ,žammeʕ/žammaʕ yžammeʕ/yžammaʕ
161,xašīṯa,864,xšy,xašīṯa
163,ḥaṣṣil,115,ḥṣṣ,ḥaṣṣa
164,baʕḓinn,98,bʕḓ,baʕḓ-
165,uxxl,102,xll,uxxul/uxxil
166,aḥḥaḏ,34,Ɂḥḏ,aḥḥaḏ
167,mḳayyeḏlə,2952,ḳyḏ,ḳayyeḏ yḳayyeḏ
168,ešme,93,Ɂšm/šmy,ešma/ušma
169,ʕlayy,4,ʕly,ʕa/ʕal
170,bōṯar,55,bṯr,bōṯar
171,ḥamša,123,ḥmš,ḥammeš
172,šečča,342,ščč/šṯṯ,šeṯṯ
173,yūm,26,ywm,yōma
174,mayṯyin,19,Ɂṯy,ayṯ(i) yayṯ(i)
175,ḳattūma,1422,ḳtm,ḳattūma
176,w,1,w,w
177,nōḥčin,46,nḥč,inḥeč/iḥḥeč yinḥuč/yiḥḥuč
178,fčōča,2639,fčč,fčōča
179,bōn,2,b,b-
180,mnažžrillun,916,nžr,nažžar ynažžar
181,šaḳfōṯa,287,šḳf,šaḳəfṯa
182,ẓʕōran,170,zʕr,iẓʕur
183,ẓʕōran,170,zʕr,iẓʕur
184,baʕdēn,62,bʕd,baʕdēn
185,ṭaʕnillun,52,ṭʕn,iṭʕan yiṭʕun
187,ḳuffō,2071,ḳff,ḳoffṯa
188,w,1,w,w
189,mišwillun,10,šwy,išw/išwi yišw/yišwi
191,tuġarō,1505,tġr,tuġōra
192,w,1,w,w
193,mayṯyin,19,Ɂṯy,ayṯ(i) yayṯ(i)
194,mōya,99,mw,mōya
195,mʕappyillun,221,ʕby,ʕapp yʕapp
197,ḥaṣṣayy,115,ḥṣṣ,ḥaṣṣa
198,hanna,7,hnn,hanna
199,tuġōra,1505,tġr,tuġōra
200,mišwin,10,šwy,išw/išwi yišw/yišwi
202,yarke,866,yrk,yarka
203,sīḥa,928,syḥ,sīḥa
204,w,1,w,w
205,yarke,866,yrk,yarka
206,ipxeš,2578,bxš,ipxeš
207,mṣaffyin,739,ṣfy,ṣaff yṣaff
208,hann,33,hnn,hann(un)
209,mōya,99,mw,mōya
210,ʕa,4,ʕly,ʕa/ʕal
211,wʕō,243,wʕy,wʕō
212,ḥrēna,85,ḥr,ḥrēna
213,noḳəṯṯa,2176,nḳṭ,noḳəṭṯa/noḳəṯṯa
214,noḳəṯṯa,2176,nḳṭ,noḳəṭṯa/noḳəṯṯa
215,xann,25,xnn,xann/xanni
216,ḥetta,32,ḥtt,ḥetta
217,la,124,l,la
218,yičbaḳḳ,283,bḳy,čbaḳḳ yičbaḳḳ
219,mett,20,mtt,mett
220,ṯēn,125,ṯny,ṯēn/ṯēni
221,yōma,26,ywm,yōma
222,mžammʕill,484,žmʕ,žammeʕ/žammaʕ yžammeʕ/yžammaʕ
223,lann,147,hnn,lann
224,mōya,99,mw,mōya
225,w,1,w,w
226,ḳalbillun,474,ḳlb,iḳlab yiḳlub
227,ʕa,4,ʕly,ʕa/ʕal
228,ṯēn,125,ṯny,ṯēn/ṯēni
229,tuġōra,1505,tġr,tuġōra
230,w,1,w,w
231,ṯēleṯ,415,ṯlṯ,ṯēleṯ
232,yōma,26,ywm,yōma
233,xett,45,xtt,xett/xetti
234,xann,25,xnn,xann/xanni
235,baʕdēn,62,bʕd,baʕdēn
236,maspill,155,Ɂsb/Ɂsp,asab yīsub
237,lann,147,hnn,lann
238,mōya,99,mw,mōya
239,ti,9,t,ti
240,mṣaffyin,739,ṣfy,ṣaff yṣaff
241,ōxer,823,Ɂxr,ōxer
242,mett,20,mtt,mett
243,awwal,136,Ɂwl,awwal
244,yōma,26,ywm,yōma
245,mbaššlillun,431,bšl,baššel ybaššel
246,nōfeḳ,40,nfḳ,infeḳ/iffeḳ yiffuḳ/yinfuḳ
247,tepsa,660,tps,tepsa
248,hanna,7,hnn,hanna
249,mšammyille,309,šmy,šamm yšamm
250,ḥaliṯa,168,ḥlw,iḥəl
251,ti,9,t,ti
252,ṯēn,125,ṯny,ṯēn/ṯēni
253,yōma,26,ywm,yōma
254,ṯanwṯa,3413,ṯnw,ṯanwṯa
255,ti,9,t,ti
256,ṯēleṯ,415,ṯlṯ,ṯēleṯ
257,yōma,26,ywm,yōma
258,čaməzṯa,2594,čmz,čaməzṯa
259,bōṯar,55,bṯr,bōṯar
260,ma,293,mɁ,ma
261,nōfeḳ,40,nfḳ,infeḳ/iffeḳ yiffuḳ/yinfuḳ
262,atar,65,twr,atar
263,tepsa,660,tps,tepsa
265,žʕīlča,2450,žʕly,žʕīlča
266,maspille,155,Ɂsb/Ɂsp,asab yīsub
267,ʕa,4,ʕly,ʕa/ʕal
268,payṯa,29,byṯ,payṯa
270,tankōṯa,1509,tnk,tanəkṯa
271,maffille,131,Ɂfy,aff/affi yaff/yaffi
272,mayṯyin,19,Ɂṯy,ayṯ(i) yayṯ(i)
273,ḳīsəṯ,285,ḳys,ḳīsa
274,ṯinō,934,ṯyn,ṯēnča
275,w,1,w,w
276,nōḥčin,46,nḥč,inḥeč/iḥḥeč yinḥuč/yiḥḥuč
277,ṭrōfa,3420,ṭrf,ṭrōfa
278,bē,71,byṯ,bē
279,xfōḳa,1847,xfḳ,xfōḳa
280,xfōḳa,1847,xfḳ,xfōḳa
281,xfōḳa,1847,xfḳ,xfōḳa
282,xann,25,xnn,xann/xanni
283,ḥetta,32,ḥtt,ḥetta
284,yažmet,1159,žmt,ažmet yažmet
285,bess,42,bss,bess/bessi
286,yažmet,1159,žmt,ažmet yažmet
287,ṯōḳen,17,ṯḳn,iṯḳen yiṯḳan
288,žōhez,1158,žhz,žōhez
290,xōla,156,Ɂxl,xōla
291,mišwin,10,šwy,išw/išwi yišw/yišwi
292,menne,69,m,m/mn
293,exma,291,Ɂxm,exma
294,aklan,3668,Ɂkl,akəlṯa
295,mišwin,10,šwy,išw/išwi yišw/yišwi
296,ḥlōṯa,1076,ḥlw,ḥlōṯa
297,w,1,w,w
298,mišwin,10,šwy,išw/išwi yišw/yišwi
299,menne,69,m,m/mn
300,bišōla,958,bšl,bišōla
301,w,1,w,w
302,mišwin,10,šwy,išw/išwi yišw/yišwi
303,menne,69,m,m/mn
304,swīḳa,1495,swḳ,swīḳa
305,w,1,w,w
306,swīḳa,1495,swḳ,swīḳa
307,mišwille,10,šwy,išw/išwi yišw/yišwi
308,w,1,w,w
309,mō,23,mɁ,mō
310,xett,45,xtt,xett/xetti
311,mišwin,10,šwy,išw/išwi yišw/yišwi
312,swīḳa,1495,swḳ,swīḳa
313,w,1,w,w
314,bišōla,958,bšl,bišōla
316,tepsa,660,tps,tepsa
317,amma,373,Ɂmm,amma
318,maʕṣarča,1898,ʕṣr,maʕṣarča
319,mičkawwna,2943,kwn,čkawwan yičkawwan
320,hī,72,hy,hī
321,maʕṣarča,1898,ʕṣr,maʕṣarča
322,čūṯ,112,Ɂyṯ,čūṯ(i)
323,ġayra,95,ġyr,ġayr/ġēr
324,čbīʕa,1590,čbʕ,ičbaʕ yičbuʕ
326,ḏayra,299,ḏyr,ḏayra
327,ʕibāra,3655,ʕbr,ʕibāra
328,ʕmīrča,2475,ʕmr,ʕmīrča
329,rappa,181,rbb,rabb/rabbi
330,uppa,183,b,ipp-/upp-
331,ḏokkṯa,107,ḏkk,ḏokkṯa
332,atar,65,twr,atar
333,ḥetta,32,ḥtt,ḥetta
334,yžammʕull,484,žmʕ,žammeʕ/žammaʕ yžammeʕ/yžammaʕ
335,ḏlūḳa,467,ḏlḳ,ḏlūḳa
336,bā,2,b,b-
337,w,1,w,w
338,yaḏərxun,2624,ḏrx,aḏrex yaḏrex
339,bā,2,b,b-
340,wḓōyṯa,381,wḓy,wḓōyṯa
341,ḥrīṯa,85,ḥr,ḥrēna
342,mžammʕill,484,žmʕ,žammeʕ/žammaʕ yžammeʕ/yžammaʕ
343,trisō,3427,trs,trīsa
344,w,1,w,w
345,wḓōyṯa,381,wḓy,wḓōyṯa
346,ti,9,t,ti
347,ṣfifill,691,ṣff,aṣaf yiṣṣuf
348,tuġarō,1505,tġr,tuġōra
349,bōn,2,b,b-
350,ḥetta,32,ḥtt,ḥetta
351,yṣaffun,739,ṣfy,ṣaff yṣaff
352,w,1,w,w
353,wḓōyṯa,381,wḓy,wḓōyṯa
354,ti,9,t,ti
355,arxibill,624,rxb,arxeb yarxeb
356,žʕīlča,2450,žʕly,žʕīlča
357,w,1,w,w
358,mšaʕʕlin,140,šʕl,šaʕʕel yšaʕʕel
359,nūra,256,nwr,nūra
360,erraʕ,127,Ɂrʕ,erraʕ
361,menna,69,m,m/mn
362,ḥetta,32,ḥtt,ḥetta
363,ybaššlull,431,bšl,baššel ybaššel
364,tepsa,660,tps,tepsa
365,hanna,7,hnn,hanna
366,xull,39,xll,xull
367,ḥkōyṯa,541,ḥky,ḥkōyṯa
368,maʕ,88,mʕ,maʕ
369,tepsa,660,tps,tepsa
370,ḥasslaṯ,109,ḥsl,ḥassel yḥassel
371,ḥkōyṯa,541,ḥky,ḥkōyṯa
373,yarḥič,205,rḥl,yarḥa
374,čammuz,2595,čmz,čammuz
375,yā,28,y(Ɂ),ya/yā
376,rrīxa,531,yrx,irrex
377,ʕomra,171,ʕmr,ʕomra
378,miščawyan,1277,šwy,iščwi yiščwi
379,mušəmšōṯa,3022,mšmš,mušmešṯa
380,ḏukkil,133,ḏkk,ḏukkil/ḏikkil
381,miščawyan,1277,šwy,iščwi yiščwi
382,baḥ,12,btt,batt-
383,naḥḥčess,229,nḥč,aḥḥeč yaḥḥeč
384,sella,1482,sll,sella
385,w,1,w,w
386,niḥḥuč,46,nḥč,inḥeč/iḥḥeč yinḥuč/yiḥḥuč
387,ʕa,4,ʕly,ʕa/ʕal
388,šiḳya,477,šḳy,šiḳya
389,nḳuṭfennen,1420,ḳṭf,iḳṭaf yiḳṭuf
390,w,1,w,w
391,nimḥammlillen,337,ḥml,ḥammel yḥammel
392,ʕa,4,ʕly,ʕa/ʕal
393,ḥmōra,192,ḥmr,ḥmōra
394,w,1,w,w
395,nmayṯyillen,19,Ɂṯy,ayṯ(i) yayṯ(i)
396,niṯyillaḥ,11,Ɂṯy,ṯōle yṯēle
397,ʕa,4,ʕly,ʕa/ʕal
398,payṯa,29,byṯ,payṯa
399,nmašiġillen,1139,šyġ,ōšeġ yōšeġ
400,nmišwillen,10,šwy,išw/išwi yišw/yišwi
402,ʕurpōla,952,ʕrpl,ʕurpōla
403,ḥetta,32,ḥtt,ḥetta
404,yṣaffull,739,ṣfy,ṣaff yṣaff
405,mōya,99,mw,mōya
406,la,124,l,la
407,yḥumʕan,2031,ḥmʕ,iḥmeʕ yiḥmaʕ
408,bess,42,bss,bess/bessi
409,yṣaffull,739,ṣfy,ṣaff yṣaff
410,mō,23,mɁ,mō
411,nimfallkillen,1976,flk,fallek yfallek
412,uxxl,102,xll,uxxul/uxxil
413,eḥḏa,132,Ɂḥḏ,eḥḏa
415,eḥḏa,132,Ɂḥḏ,eḥḏa
416,nmaḳimill,150,ḳwm,ōḳem yōḳem
417,bizrayyun,767,bzr,bezra
418,w,1,w,w
419,nmišwillun,10,šwy,išw/išwi yišw/yišwi
421,maʕžna,1055,ʕžn,maʕžna
422,rabb,181,rbb,rabb/rabbi
423,w,1,w,w
424,nmayṯyill,19,Ɂṯy,ayṯ(i) yayṯ(i)
425,lanna,48,hnn,lanna
426,sukkar,923,skr,sukkar
427,bess,42,bss,bess/bessi
428,nfallkenn,1976,flk,fallek yfallek
429,w,1,w,w
430,nḥassel,109,ḥsl,ḥassel yḥassel
431,nmišwiss,10,šwy,išw/išwi yišw/yišwi
432,sukkar,923,skr,sukkar
433,ʕlayy,4,ʕly,ʕa/ʕal
434,nmišwillun,10,šwy,išw/išwi yišw/yišwi
436,šimša,277,šmš,šimša
437,mett,20,mtt,mett
438,felkiš,164,flk,felka
439,šaʕṯiz,110,šwʕ,šaʕṯa
440,zamōna,198,zmn,zamōna
441,yīb,53,b,yīb
442,aḏab,1968,ḏwb,aḏab yīḏub
443,sukkar,923,skr,sukkar
444,nmaʕkillen,1721,mʕk,imʕak yimʕuk
445,w,1,w,w
446,nimṣaffyillen,739,ṣfy,ṣaff yṣaff
448,maḥōlča,997,mḥl -> nḥl,maḥōlča
449,ya,28,y(Ɂ),ya/yā
451,muṣfōyṯa,3209,ṣfy,miṣfōyṯa/muṣfōyṯa
452,nimṣaffyillen,739,ṣfy,ṣaff yṣaff
453,ʕa,4,ʕly,ʕa/ʕal
454,mahlinnaḥ,1105,mhl,mahla
455,ḥetta,32,ḥtt,ḥetta
456,naḳimett,150,ḳwm,ōḳem yōḳem
457,teflen,3366,tfl,tefla
458,w,1,w,w
460,xulle,39,xll,xull
461,mett,20,mtt,mett
462,minnayy,6,mn,m-/mn-
463,ṣaʕṯen,2313,ṣʕṣʕ,ṣaʕṯa
464,nmayṯyill,19,Ɂṯy,ayṯ(i) yayṯ(i)
465,maʕžna,1055,ʕžn,maʕžna
466,w,1,w,w
467,nmišwille,10,šwy,išw/išwi yišw/yišwi
468,ʕa,4,ʕly,ʕa/ʕal
469,ṯeffṯa,1504,ṯff,ṯeffṯa
470,w,1,w,w
471,nṯōḳnin,17,ṯḳn,iṯḳen yiṯḳan
472,nmaḏəlḳin,1598,ḏlḳ,aḏleḳ yaḏleḳ
473,erraʕ,127,Ɂrʕ,erraʕ
474,menne,69,m,m/mn
475,ḏlūḳa,467,ḏlḳ,ḏlūḳa
476,mḳaʕḳaʕ,1699,ḳʕḳʕ,ḳaʕḳaʕ yḳaʕḳaʕ
477,ṯarč,144,ṯr,ṯarč/ṯarči
478,ḳuʕḳaʕiyyan,2956,ḳʕḳʕ,ḳuʕḳʕīṯa
479,nḳaššill,2912,ḳšš,aḳaš yiḳḳuš
480,lōḳ,14,hw(ḏ),hōḏ(i)
481,ḳalles,66,ḳls,ḳalles
482,ti,9,t,ti
483,sukkar,923,skr,sukkar
484,ču,21,čw,čū/ču
485,manfʕa,734,nfʕ,anfaʕ yanfaʕ
486,ẓafərṯe,2423,ẓfr,ẓafərṯa
487,w,1,w,w
488,nmaḳimillen,150,ḳwm,ōḳem yōḳem
489,nmassḳillen,268,slḳ,asseḳ yasseḳ
490,ʕa,4,ʕly,ʕa/ʕal
491,ʕakkarō,288,ʕkr,ʕakkōra
492,nmayṯyiss,19,Ɂṯy,ayṯ(i) yayṯ(i)
493,satrō,1023,str,satra
494,w,1,w,w
496,ṣunyōṯa,631,ṣny,ṣunōyṯa
497,nimfaḓḓyill,891,fḓy,faḓḓ yfaḓḓ
498,atar,65,twr,atar
499,lanna,48,hnn,lanna
500,marmarāt,24,[NA],[loanword]
501,bēn,1584,byn,bēn
502,baḥ,12,btt,batt-
503,nisḳel,220,sḳll,isḳel yisḳel
504,iṯr,113,ṯr,iṯər/iṯri
505,ṯlōṯa,78,ṯlṯ,eṯlaṯ
506,yūm,26,ywm,yōma
507,nsōlḳin,58,slḳ,isleḳ yislaḳ
508,w,1,w,w
509,nnōḥčin,46,nḥč,inḥeč/iḥḥeč yinḥuč/yiḥḥuč
510,ʕa,4,ʕly,ʕa/ʕal
511,ʕakkōra,288,ʕkr,ʕakkōra
512,w,1,w,w
513,nimḥarrkille,1078,ḥrk,ḥarrek yḥarrek
515,ḥetta,32,ḥtt,ḥetta
516,yanšef,1250,nšf,anšef yanšef
517,bess,42,bss,bess/bessi
518,yanšef,1250,nšf,anšef yanšef
519,nimʕappyille,221,ʕby,ʕapp yʕapp
521,ḳaṭramizō,906,ḳṭrmz,ḳaṭramīza
522,w,1,w,w
523,nmayṯyill,19,Ɂṯy,ayṯ(i) yayṯ(i)
524,lanna,48,hnn,lanna
525,ḳaṭramīza,906,ḳṭrmz,ḳaṭramīza
526,nḳōtrin,315,ḳtr,iḳtar yiḳtur
527,aʕle,4,ʕly,ʕa/ʕal
528,šaḳəfṯa,287,šḳf,šaḳəfṯa
529,ḥuwwōr,314,ḥwr,ḥuwwar
530,w,1,w,w
531,nmišwille,10,šwy,išw/išwi yišw/yišwi
